,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot_1,Off_1,Shoot_2,Off_2,PGA,And1,Blkd,Season
428,337,Daniel Ochefu,C,23,WAS,19,75,,,,8%,92%,-19.6,-21.7,0,1,11,2,1,0,9,0,4,2017
429,338,Jahlil Okafor,C,21,PHI,50,1134,,,,7%,93%,-14.7,-12.1,12,39,75,19,70,6,141,17,44,2017
430,339,Victor Oladipo,SG,24,OKC,67,2222,3%,94%,4%,,,3.5,6.8,51,45,81,10,67,2,401,17,53,2017
431,340,Kelly Olynyk,C,25,BOS,75,1538,,,,9%,91%,0.0,-5.1,36,23,107,18,49,8,352,12,31,2017
432,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2017
433,341,Arinze Onuaku,C,29,ORL,8,28,,,,5%,95%,-28.8,-22.1,0,1,2,0,0,0,5,0,0,2017
434,342,Chinanu Onuaku,C,20,HOU,5,52,,,,,100%,-39.4,-46.2,1,1,4,1,2,0,6,0,0,2017
435,343,Kelly Oubre Jr.,SF,21,WAS,79,1605,,12%,80%,9%,,0.4,-2.2,17,18,84,5,47,14,114,10,35,2017
436,344,Zaza Pachulia,C,32,GSW,70,1268,,,,1%,99%,16.0,6.2,39,17,73,27,60,6,303,9,34,2017
437,345,Georgios Papagiannis,C,19,SAC,22,355,,,,,100%,-5.5,-1.8,7,10,34,1,4,0,45,2,2,2017
438,346,Jabari Parker,PF,21,MIL,51,1728,,,31%,68%,1%,-3.0,-5.5,37,28,43,16,107,2,336,30,65,2017
439,347,Tony Parker,PG,34,SAS,63,1587,99%,2%,,,,6.2,-2.9,55,21,44,7,53,5,639,14,42,2017
440,348,Chandler Parsons,SF,28,MEM,34,675,,,90%,10%,,-3.3,-4.8,15,6,24,3,17,4,133,1,15,2017
441,349,Lamar Patterson,SG,25,ATL,5,40,100%,,,,,18.2,19.6,4,0,4,0,1,0,12,1,2,2017
442,350,Patrick Patterson,PF,27,TOR,65,1599,,,,91%,9%,10.8,10.4,20,5,44,10,24,6,188,4,11,2017
443,351,Chris Paul,PG,31,LAC,61,1921,100%,,,,,14.3,19.9,94,37,46,8,34,8,1293,8,14,2017
